File,Value
ActiveMoment.wav,1
water ii.wav,0.3
cricket.wav,0.86
eww slug.wav,0.18
r_0human19520_2-hq.wav,0.82
r_0human20292_99904-hq.wav,0.16
r_0human22388_117199-hq.wav,0.53
r_0human23312_146960-hq.wav,0.03
r_0human24011_156279-hq.wav,0.07
r_0human31532_118241-hq.wav,0.68
r_0human31781_266482-hq.wav,0.02
r_0human31962_129090-hq.wav,0.54
r_0human39932_8043-hq.wav,0.29
r_0human41980_215874-hq.wav,0.15
r_0human44311_126288-hq.wav,0.08
r_0human44713_6281-hq.wav,0.68
r_0human50865_118241-hq.wav,0.4
r_0human52285_626078-hq.wav,0.47
r_0human55495_36188-hq.wav,0.54
r_0human56873_707638-hq.wav,0.41
r_0human58407_43834-hq.wav,0.46
r_0human60482_719027-hq.wav,0.21
r_0human66607_800302-hq.wav,0.14
r_0human69146_988961-hq.wav,0.2
r_0human73108_36188-hq.wav,0.58
r_0human75265_143133-hq.wav,0.45
r_0human76849_7037-hq.wav,0.32
r_0human77372_1173265-hq.wav,0.42
r_0human80280_1123190-hq.wav,0.18
r_0human80688_344584-hq.wav,0.66
r_0human82703_634166-hq.wav,0.09
r_0human83360_791247-hq.wav,0.04
r_0human101979_1313063-hq.wav,0.78
r_0human102617_425689-hq.wav,0.81
r_0human106261_1707984-hq.wav,0.6
r_0human106568_7037-hq.wav,0.02
r_0human113598_1015240-hq.wav,0.04
r_0human115208_1143716-hq.wav,0.66
r_0human117503_2101324-hq.wav,0.71
r_0human118096_29541-hq.wav,0.84
r_0human125859_43-hq.wav,0.74
r_0human127590_1648170-hq.wav,0.61
r_0human128097_2338419-hq.wav,0.34
r_0human128768_806506-hq.wav,0.54
r_0human129783_1188483-hq.wav,0.66
r_0human131402_2337290-hq.wav,0.19
r_0human138091_1839281-hq.wav,0.37
r_0human140140_43-hq.wav,0.8
r_0human143651_1924005-hq.wav,0.85
r_0human144024_2588050-hq.wav,0.62
r_0human147543_591423-hq.wav,0.41
r_0human147643_2587501-hq.wav,0.08
r_0human148009_2577970-hq.wav,0.04
r_0human150850_826206-hq.wav,0.5
r_0human151060_2400359-hq.wav,0.53
r_0human156040_2558789-hq.wav,0.31
r_0human156847_2730748-hq.wav,0.49
r_0human161417_2895542-hq.wav,0.43
r_0human162024_43-hq.wav,0.36
r_0human162620_2111976-hq.wav,0.44
r_0human163496_2896221-hq.wav,0.12
r_0human166175_1773681-hq.wav,0.64
r_0human171120_2140699-hq.wav,0.19
r_0human172230_1038806-hq.wav,0.46
r_0human178989_2417094-hq.wav,0.52
r_0human179928_3223507-hq.wav,0.69
r_0human180043_1038806-hq.wav,0.56
r_0human181599_3384926-hq.wav,0.01
r_0human187351_3297044-hq.wav,0.5
r_0human191378_3557723-hq.wav,0.07
r_0human193794_2580450-hq.wav,0.45
r_0human195053_2213158-hq.wav,0.5
r_0human197144_3272432-hq.wav,0.21
r_0human198411_1648170-hq.wav,0.15
r_0human202335_1661766-hq.wav,0.06
r_0human206021_1648170-hq.wav,0.02
r_0human214147_1661766-hq.wav,0.04
r_0human231267_3219995-hq.wav,0.48
r_0human234161_180659-hq.wav,0.46
r_0human238549_1661766-hq.wav,0.24
r_0human240324_1149179-hq.wav,0.16
r_0human242932_3719168-hq.wav,0.11
r_0human257644_3865966-hq.wav,0.49
r_0human259612_4841074-hq.wav,0.39
r_0human261557_3748023-hq.wav,0.19
r_0human261596_4486188-hq.wav,0.46
r_0human262168_93137-hq.wav,0.27
r_0human267563_4463962-hq.wav,0.13
r_0human270457_5102331-hq.wav,0.4
r_0human271910_4181170-hq.wav,0.54
r_0human272275_4181170-hq.wav,0.48
r_0human318638_1038858-hq.wav,0.2
r_0human334691_5848334-hq.wav,0.41
r_0human339271_2631614-hq.wav,0.35
r_0human350728_97763-hq.wav,0.56
r_0mechanical1784_1198-hq.wav,0.86
r_0mechanical2356_3525-hq.wav,0.89
r_0mechanical6572_2518-hq.wav,0.97
r_0mechanical11598_31600-hq.wav,0.6
r_0mechanical17498_62289-hq.wav,0.04
r_0mechanical17612_17129-hq.wav,0.1
r_0mechanical17742_61521-hq.wav,0.45
r_0mechanical18457_8043-hq.wav,0.03
r_0mechanical18867_62289-hq.wav,0
r_0mechanical18957_5745-hq.wav,0.01
r_0mechanical21066_45914-hq.wav,0.89
r_0mechanical24671_6997-hq.wav,0.06
r_0mechanical28218_52325-hq.wav,0.02
r_0mechanical29856_57789-hq.wav,0.49
r_0mechanical30296_35389-hq.wav,0.41
r_0mechanical30386_95609-hq.wav,0.6
r_0mechanical47044_230160-hq.wav,0.47
r_0mechanical50412_26695-hq.wav,0.78
r_0mechanical50608_556708-hq.wav,0.84
r_0mechanical53482_215874-hq.wav,0.96
r_0mechanical62704_96-hq.wav,0.14
r_0mechanical73524_482913-hq.wav,0.22
r_0mechanical76977_1172438-hq.wav,0.6
r_0mechanical80158_193132-hq.wav,0.42
r_0mechanical81831_385976-hq.wav,0.46
r_0mechanical85463_552310-hq.wav,0.35
r_0mechanical86253_1068580-hq.wav,0.57
r_0mechanical87169_401166-hq.wav,0.68
r_0mechanical94285_1499659-hq.wav,0.9
r_0mechanical98942_1163166-hq.wav,0.23
r_0mechanical109152_201367-hq.wav,0.9
r_0mechanical111665_406409-hq.wav,0.74
r_0mechanical112812_1535323-hq.wav,0.29
r_0mechanical114288_1163762-hq.wav,0.55
r_0mechanical120385_288-hq.wav,0.62
r_0mechanical132592_1634107-hq.wav,0.74
r_0mechanical134783_2244250-hq.wav,0.29
r_0mechanical134922_2461495-hq.wav,0.18
r_0mechanical145013_2580450-hq.wav,0.33
r_0mechanical160545_2193194-hq.wav,0.24
r_0mechanical160746_2898104-hq.wav,0.83
r_0mechanical165696_354987-hq.wav,0.45
r_0mechanical166635_2015227-hq.wav,0.9
r_0mechanical167898_454894-hq.wav,0.95
r_0mechanical169167_2826383-hq.wav,0.87
r_0mechanical170125_3011039-hq.wav,0.94
r_0mechanical170240_3147897-hq.wav,0.5
r_0mechanical170404_1531809-hq.wav,0.59
r_0mechanical170868_1038806-hq.wav,0.25
r_0mechanical171951_114198-hq.wav,0.78
r_0mechanical180502_985466-hq.wav,0.11
r_0mechanical188150_1039739-hq.wav,0.84
r_0mechanical198357_7037-hq.wav,0.37
r_0mechanical201176_401348-hq.wav,0.29
r_0mechanical204001_3816115-hq.wav,0.75
r_0mechanical204488_1573847-hq.wav,0.33
r_0mechanical209297_828493-hq.wav,0.25
r_0mechanical221922_2737063-hq.wav,0.14
r_0mechanical223070_2112203-hq.wav,0
r_0mechanical231528_2549002-hq.wav,0.93
r_0mechanical233222_4214779-hq.wav,0.63
r_0mechanical234008_1274078-hq.wav,0.75
r_0mechanical237743_691206-hq.wav,0.8
r_0mechanical238156_130385-hq.wav,0.43
r_0mechanical239200_417293-hq.wav,0.97
r_0mechanical239939_3597870-hq.wav,0.73
r_0mechanical244364_557477-hq.wav,0.8
r_0mechanical244820_4056007-hq.wav,0.83
r_0mechanical256874_1648170-hq.wav,0.54
r_0mechanical261164_3452716-hq.wav,0.64
r_0mechanical262574_525245-hq.wav,0.48
r_0mechanical262587_4206277-hq.wav,0.34
r_0mechanical264313_3820822-hq.wav,0.38
r_0mechanical274257_4486188-hq.wav,0.98
r_0mechanical318619_739478-hq.wav,0.47
r_0mechanical325722_5622605-hq.wav,0.7
r_0mechanical326631_5305165-hq.wav,0.54
r_0mechanical328750_2472895-hq.wav,0.18
r_0mechanical329977_2713464-hq.wav,0.78
r_0mechanical335535_4663069-hq.wav,0
r_0mechanical337096_3474310-hq.wav,0.5
r_0mechanical348658_1648170-hq.wav,0.53
r_0nature2157_1198-hq.wav,0.56
r_0nature7897_4942-hq.wav,0.6
r_0nature15542_2-hq.wav,0.52
r_0nature16934_54714-hq.wav,0.94
r_0nature17348_8043-hq.wav,0.59
r_0nature17535_17129-hq.wav,0.62
r_0nature19095_62018-hq.wav,0.39
r_0nature19274_37876-hq.wav,0.89
r_0nature19626_600-hq.wav,0.93
r_0nature19771_37876-hq.wav,0.51
r_0nature21047_210-hq.wav,0.43
r_0nature21842_18799-hq.wav,0.59
r_0nature24949_130336-hq.wav,0.65
r_0nature27493_205108-hq.wav,0.79
r_0nature31597_57789-hq.wav,0.85
r_0nature31960_129090-hq.wav,0.81
r_0nature35139_328279-hq.wav,0.8
r_0nature38895_94155-hq.wav,0.72
r_0nature39832_28216-hq.wav,0.94
r_0nature40824_28867-hq.wav,0.9
r_0nature41306_266274-hq.wav,0.6
r_0nature41322_59021-hq.wav,0.43
r_0nature45138_283424-hq.wav,0.88
r_0nature45518_111413-hq.wav,0.91
r_0nature46041_229898-hq.wav,0.74
r_0nature46142_453534-hq.wav,0.97
r_0nature46904_529006-hq.wav,0.62
r_0nature51172_179538-hq.wav,0.69
r_0nature51777_612689-hq.wav,0.76
r_0nature52042_321967-hq.wav,0.56
r_0nature52298_215874-hq.wav,0.59
r_0nature52877_283424-hq.wav,0.62
r_0nature53752_71257-hq.wav,0.5
r_0nature54595_18799-hq.wav,0.9
r_0nature54806_97826-hq.wav,0.75
r_0nature54948_36188-hq.wav,0.59
r_0nature55115_4948-hq.wav,0.61
r_0nature55349_407362-hq.wav,0.62
r_0nature56522_36188-hq.wav,0.49
r_0nature57889_695835-hq.wav,0.93
r_0nature58926_533680-hq.wav,0.34
r_0nature58947_738832-hq.wav,0.52
r_0nature59229_446095-hq.wav,0.92
r_0nature59247_745228-hq.wav,0.63
r_0nature61388_806506-hq.wav,0.45
r_0nature61620_222582-hq.wav,0.43
r_0nature61671_321967-hq.wav,0.36
r_0nature62281_29541-hq.wav,0.56
r_0nature65487_882296-hq.wav,0.59
r_0nature65880_649468-hq.wav,0.51
r_0nature66615_800302-hq.wav,0.44
r_0nature66726_931386-hq.wav,0.51
r_0nature67237_949430-hq.wav,0.46
r_0nature68205_289380-hq.wav,0.22
r_0nature69648_634166-hq.wav,0.54
r_0nature73708_29263-hq.wav,0.61
r_0nature80846_56518-hq.wav,0.02
r_0nature81720_280284-hq.wav,0.5
r_0nature83961_646701-hq.wav,0.46
r_0nature95258_1574595-hq.wav,0.44
r_0nature96898_684000-hq.wav,0.47
r_0nature97920_213393-hq.wav,0.53
r_0nature99018_1654820-hq.wav,0.61
r_0nature100208_1682853-hq.wav,0.71
r_0nature100473_1558892-hq.wav,0.65
r_0nature101235_101011-hq.wav,0.61
r_0nature101325_99904-hq.wav,0.56
r_0nature103538_556488-hq.wav,0.86
r_0nature104482_1578278-hq.wav,0.58
r_0nature107823_1754537-hq.wav,0.64
r_0nature110575_28867-hq.wav,0.49
r_0nature118148_439521-hq.wav,0.54
r_0nature118777_1708550-hq.wav,0.74
r_0nature119124_1970026-hq.wav,0.85
r_0nature120105_957391-hq.wav,0.8
r_0nature120695_2085904-hq.wav,0.26
r_0nature121246_1658678-hq.wav,0.77
r_0nature122617_2462-hq.wav,0.61
r_0nature122742_1478120-hq.wav,0.64
r_0nature125725_296888-hq.wav,0.61
r_0nature127109_1664878-hq.wav,0.25
r_0nature129336_2355772-hq.wav,0.88
r_0nature130459_1565498-hq.wav,0.72
r_0nature130692_1483235-hq.wav,0.96
r_0nature131185_2391123-hq.wav,0.62
r_0nature131455_2337088-hq.wav,0.56
r_0nature136850_243822-hq.wav,0.09
r_0nature137878_2523682-hq.wav,0.17
r_0nature139945_2352202-hq.wav,0.53
r_0nature140815_2362707-hq.wav,0.79
r_0nature144127_488082-hq.wav,0.62
r_0nature147685_1779874-hq.wav,0.4
r_0nature148143_2659248-hq.wav,0.57
r_0nature148347_2606735-hq.wav,0.47
r_0nature149223_221578-hq.wav,0.51
r_0nature149743_1050391-hq.wav,0.12
r_0nature152598_2029121-hq.wav,0.24
r_0nature154999_130385-hq.wav,0.52
r_0nature156523_116691-hq.wav,0.12
r_0nature353362_1648170-hq.wav,0.37
r_0quiet13492_4942-hq.wav,0.62
r_0quiet30365_29541-hq.wav,0.69
r_0quiet33180_215874-hq.wav,0.78
r_0quiet33181_215874-hq.wav,0.83
r_0quiet33185_215874-hq.wav,0.87
r_0quiet33838_215874-hq.wav,0.79
r_0quiet37216_43834-hq.wav,0.59
r_0quiet38962_107780-hq.wav,0.83
r_0quiet38970_107780-hq.wav,0.87
r_0quiet41331_433985-hq.wav,0.63
r_0quiet48045_492349-hq.wav,0.44
r_0quiet48955_32572-hq.wav,0.53
r_0quiet53593_520316-hq.wav,0.57
r_0quiet54921_308-hq.wav,0.93
r_0quiet57028_4948-hq.wav,0.97
r_0quiet66440_706955-hq.wav,0.58
r_0quiet70168_1022651-hq.wav,0.55
r_0quiet71821_513485-hq.wav,0.95
r_0quiet72022_1059930-hq.wav,0.41
r_0quiet75271_384438-hq.wav,0.55
r_0quiet94931_1499659-hq.wav,0.59
r_0quiet106869_1635617-hq.wav,0.65
r_0quiet120156_1757287-hq.wav,0.7
r_0quiet120899_893816-hq.wav,0.71
r_0quiet127242_116752-hq.wav,0.58
r_0quiet129340_2355772-hq.wav,0.67
r_0quiet129679_2322692-hq.wav,0.56
r_0quiet130215_2355772-hq.wav,0.5
r_0quiet130798_735175-hq.wav,0.86
r_0quiet130997_735175-hq.wav,0.62
r_0quiet133727_1173265-hq.wav,0.51
r_0quiet135620_2394357-hq.wav,0.54
r_0quiet139092_1969152-hq.wav,0.95
r_0quiet144981_2103589-hq.wav,0.88
r_0quiet145395_2607024-hq.wav,0.53
r_0quiet150190_772944-hq.wav,0.59
r_0quiet154917_116691-hq.wav,0.53
r_0quiet157007_1815320-hq.wav,0.89
r_0quiet164202_2977885-hq.wav,0.64
r_0quiet169974_1648170-hq.wav,0.55
r_0quiet169978_1648170-hq.wav,0.57
r_0quiet171425_1648170-hq.wav,0.48
r_0quiet172036_1648170-hq.wav,0.94
r_0quiet172351_334103-hq.wav,0.91
r_0quiet178190_1648170-hq.wav,0.78
r_0quiet178698_3244946-hq.wav,0.58
r_0quiet190573_1648170-hq.wav,0.53
r_0quiet193483_1728127-hq.wav,0.54
r_0quiet193721_1648170-hq.wav,0.81
r_0quiet196005_3321305-hq.wav,0.66
r_0quiet197545_3674608-hq.wav,0.89
r_0quiet198919_2440401-hq.wav,0.45
r_0quiet198933_2440401-hq.wav,0.46
r_0quiet202952_1391822-hq.wav,0.53
r_0quiet204510_878508-hq.wav,0.58
r_0quiet205710_1934467-hq.wav,0.62
r_0quiet205831_1622740-hq.wav,0.84
r_0quiet209338_3464493-hq.wav,0.54
r_0quiet210107_2973509-hq.wav,0.95
r_0quiet212144_623488-hq.wav,0.55
r_0quiet213548_520316-hq.wav,0.6
r_0quiet213708_1648170-hq.wav,0.45
r_0quiet214038_1306869-hq.wav,0.86
r_0quiet214663_2605156-hq.wav,0.82
r_0quiet215173_630202-hq.wav,0.58
r_0quiet219466_1986349-hq.wav,0.9
r_0quiet221677_1648170-hq.wav,0.74
r_0quiet238145_2254206-hq.wav,0.59
r_0quiet240895_1134415-hq.wav,0.53
r_0quiet241659_1006701-hq.wav,0.52
r_0quiet241731_4401185-hq.wav,0.56
r_0quiet241771_221578-hq.wav,0.5
r_0quiet242174_2979316-hq.wav,0.46
r_0quiet244882_4056007-hq.wav,0.49
r_0quiet255232_4508519-hq.wav,0.82
r_0quiet255735_1648170-hq.wav,0.57
r_0quiet256544_2276808-hq.wav,0.58
r_0quiet262692_2190378-hq.wav,0.6
r_0quiet266633_1648170-hq.wav,0.7
r_0quiet269576_1313063-hq.wav,0.37
r_0quiet270597_5137631-hq.wav,0.84
r_0quiet271679_1648170-hq.wav,0.58
r_0quiet274363_3863663-hq.wav,0.52
r_0quiet278868_1402315-hq.wav,0.54
r_0quiet317271_3660887-hq.wav,0.85
r_0quiet318937_1648170-hq.wav,0.69
r_0quiet319150_1648170-hq.wav,0.68
r_0quiet320862_2462-hq.wav,0.54
r_0quiet321723_5260872-hq.wav,0.92
r_0quiet324493_2104797-hq.wav,0.63
r_0quiet324938_1648170-hq.wav,0.68
r_0quiet325806_5622605-hq.wav,0.55
r_0quiet329960_1648170-hq.wav,0.52
r_0quiet332764_2808561-hq.wav,0.48
r_0quiet332784_5804919-hq.wav,0.72
r_0quiet333221_2098408-hq.wav,0.9
r_0quiet338261_1648170-hq.wav,0.73
r_0quiet340485_2822775-hq.wav,0.94
r_0quiet348862_4067257-hq.wav,0.91
r_0quiet351484_1648170-hq.wav,0.96
r_0society7560_8043-hq.wav,0.07
r_0society14468_36042-hq.wav,0.01
r_0society14526_37253-hq.wav,0.37
r_0society22326_113722-hq.wav,0.57
r_0society22587_36188-hq.wav,0
r_0society22726_117199-hq.wav,0.71
r_0society25823_21830-hq.wav,0.64
r_0society27864_89943-hq.wav,0.4
r_0society28385_5726-hq.wav,0
r_0society29575_14447-hq.wav,0.5
r_0society33544_223338-hq.wav,0.54
r_0society35299_341440-hq.wav,0.81
r_0society35545_7037-hq.wav,0.58
r_0society36155_444-hq.wav,0.66
r_0society36429_117392-hq.wav,0.01
r_0society36897_40107-hq.wav,0.08
r_0society36934_99904-hq.wav,0.54
r_0society41639_96-hq.wav,0.85
r_0society42368_215874-hq.wav,0.53
r_0society43766_440037-hq.wav,0.1
r_0society46302_520316-hq.wav,0.72
r_0society46348_28867-hq.wav,0.78
r_0society46732_26695-hq.wav,0.37
r_0society48205_269533-hq.wav,0.5
r_0society49599_571325-hq.wav,0.28
r_0society49763_478853-hq.wav,0.52
r_0society51181_565076-hq.wav,0.1
r_0society51783_612689-hq.wav,0.03
r_0society52442_630202-hq.wav,0.56
r_0society52788_256226-hq.wav,0.53
r_0society54826_667071-hq.wav,0.61
r_0society56918_321967-hq.wav,0.34
r_0society57777_568652-hq.wav,0.47
r_0society60574_719027-hq.wav,0.44
r_0society62633_791247-hq.wav,0.6
r_0society66604_800302-hq.wav,0.72
r_0society73278_828209-hq.wav,0.38
r_0society73610_649002-hq.wav,0.55
r_0society74324_1116756-hq.wav,0.26
r_0society74382_1035425-hq.wav,0.55
r_0society74967_1151436-hq.wav,0.43
r_0society75783_4948-hq.wav,0.75
r_0society78434_453534-hq.wav,0.8
r_0society78661_1148115-hq.wav,0
r_0society80258_1123190-hq.wav,0.15
r_0society83477_57789-hq.wav,0.09
r_0society83838_326032-hq.wav,0.46
r_0society87065_339463-hq.wav,0.92
r_0society92656_780633-hq.wav,0.47
r_0society95843_1059930-hq.wav,0.51
r_0society100905_1015240-hq.wav,0.75
r_0society103983_149596-hq.wav,0.47
r_0society104041_179538-hq.wav,0.89
r_0society121787_2168040-hq.wav,0.35
r_0society122738_2140699-hq.wav,0.34
r_0society128165_2287103-hq.wav,0.55
r_0society130096_2268897-hq.wav,0.23
r_0society131134_623488-hq.wav,0.55
r_0society131428_2393328-hq.wav,0.63
r_0society135094_658546-hq.wav,0.49
r_0society135581_1174059-hq.wav,0.4
r_0society135811_18799-hq.wav,0.29
r_0society136666_1285378-hq.wav,0.5
r_0society138247_2531318-hq.wav,0.53
r_0society142296_2576155-hq.wav,0.34
r_0society145399_2592237-hq.wav,0.77
r_0society148889_280284-hq.wav,0.55
r_0society152038_2753909-hq.wav,0.28
r_0society155049_2558789-hq.wav,0.36
r_0society155638_1565010-hq.wav,0.08
r_0society156965_464357-hq.wav,0.67
r_0society159482_2841009-hq.wav,0.34
r_0society161328_1050515-hq.wav,0.1
r_0society161975_2580450-hq.wav,0.59
r_0society164344_18799-hq.wav,0.07
r_0society166816_1292622-hq.wav,0.03
r_0society168069_3068545-hq.wav,0.52
r_0society168481_3078751-hq.wav,0.66
r_0society169186_1531809-hq.wav,0.91
r_0society169230_1648170-hq.wav,0.54
r_0society176025_334810-hq.wav,0.61
r_0society177543_612689-hq.wav,0.26
r_0society180911_1531809-hq.wav,0.83
r_0society181098_3261925-hq.wav,0.03
r_0society184882_1143716-hq.wav,0.08
r_0society185373_3277771-hq.wav,0.42
r_0society189825_3429777-hq.wav,0
r_0society191746_116691-hq.wav,0.83
r_0society192788_1648170-hq.wav,0.53
r_0society198941_2547276-hq.wav,0.63
r_0society199687_1143716-hq.wav,0.79
r_0society200814_2019774-hq.wav,0.87
r_0society202327_658546-hq.wav,0.66
r_0society204364_3279490-hq.wav,0.32
r_0society210150_3305361-hq.wav,0.36
r_0society213755_53430-hq.wav,0.5
r_0society216044_2071210-hq.wav,0.46
r_0society217609_4059975-hq.wav,0.57
r_0society219317_1661766-hq.wav,0.33
r_0society221274_3739892-hq.wav,0.73
r_1human44199_215874-hq.wav,0.56
r_1human51792_612689-hq.wav,0.22
r_1human54889_29541-hq.wav,0.49
r_1human163146_2880190-hq.wav,0.12
r_1human164373_2558789-hq.wav,0.15
r_1human178333_2042115-hq.wav,0.48
r_1human195718_2580450-hq.wav,0.54
r_1human207728_1038806-hq.wav,0.41
r_1human249742_4575051-hq.wav,0.27
r_1mechanical76132_1035369-hq.wav,0.56
r_1mechanical87563_634166-hq.wav,0.11
r_1mechanical091237_634166-hq.wav,0.4
r_1mechanical135063_658546-hq.wav,0.69
r_1mechanical149273_1015240-hq.wav,0.25
r_1mechanical155610_2629425-hq.wav,0.53
r_1mechanical155859_179538-hq.wav,0.16
r_1mechanical163683_2843367-hq.wav,0.49
r_1mechanical168873_2769056-hq.wav,0.43
r_1mechanical0171033_213393-hq.wav,0.36
r_1mechanical177779_2035780-hq.wav,0.68
r_1mechanical233732_3247643-hq.wav,0.8
r_4mechanical52164_164285-hq.wav,0.73
r_4mechanical264850_4975383-hq.wav,0.93
r_4mechanical345495_93137-hq.wav,0.96
r_6mechanical60455_27178-hq.wav,0.76
r_6mechanical66618_800302-hq.wav,0.19
r_7mechanical54899_170972-hq.wav,0.32
Oz Pretty Beach bird chirp.wav,0.39
walking.wav,0.51
oz Train Greensquare.wav,0.55
water.wav,0.4
Crickets and chains.wav,0.7
machine drone.wav,0.73
LRS_test1_S.wav,0.35
jacket pack.wav,0.51
Penticton fly.wav,0.29
Counter for Reality.wav,0.82
pebbles.wav,0.69
Penticton grass.wav,0.9
Penticton water i.wav,0.42
Kelowna Tree rip ii.wav,0.18
steel.wav,1
OzTrain next train.wav,0.6
Oz Pretty Beach circada i.wav,0.38
LRS_test1_L.wav,0.66
White Lake leaves.wav,0.98
Penticton night noise.wav,0.88
Oz Train ambiance.wav,0.92
Oz St Mary bells.wav,0.12
Penticton water ii.wav,0.37
White Lake ambiance ii.wav,0.99
waterbells i.wav,1
plane.wav,0.58
Oz Pretty Beach wind i.wav,0.45
Penticton walking ii.wav,0.68
Oz Pretty Beach circada ii.wav,0.36
Oz Pretty Beach water i.wav,0.26
Kelowna Tree rip i.wav,0.81
Penticton walking.wav,0.91
Monster Trucks Kelowna 2020 ii.wav,0.83
Oz Mall ambiance.wav,0.87
Oz Pretty Beach cricket ii.wav,0.75
Monster Trucks Kelowna 2020 i.wav,0.38
Simmer ii.wav,0.96
White Lake ambiance.wav,0.92
HoneyDrone.wav,0.98
White Lake bird.wav,0.92
Oz Pretty Beach wind ii.wav,0.39
Penticton water iii.wav,0.45
waterbells ii.wav,1
Oz Train ambiance ii.wav,0.92
Simmer i.wav,0.98
Oz Pretty Beach circada iii.wav,0.94
Oz Pretty Beach cricket.wav,0.92
Shimmer.wav,0.98
Penticton Night walking.wav,0.67
